name,Michelin stars,year,latitude,longitude,city,region,zipCode,cuisine,price,url
Ledbury,2,2019,51.51674,-0.20007,North Kensington,United Kingdom,W11 2AQ,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/north-kensington/restaurant/ledbury
Lee Jong Kuk 104,1,2019,37.592903,126.997284,Seoul,South Korea,N/A,Korean,$$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/lee-jong-kuk-104
Lei Garden,1,2018,1.295228,103.8521,Singapore,Singapore,N/A,Cantonese,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/lei-garden501509
Lei Garden (Kwun Tong),1,2019,22.312672,114.22482,Hong Kong,Hong Kong,N/A,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong
Lei Garden (Mong Kok),1,2019,22.320219,114.17133,Hong Kong,Hong Kong,N/A,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok
Leroy,1,2019,51.524086,-0.0815337,Shoreditch,United Kingdom,EC2A 4NU,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/shoreditch/restaurant/leroy
Les Amis,2,2018,1.3066648,103.8314,Singapore,Singapore,N/A,French,$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/les-amis
Liao Fan Hong Kong Soya Sauce Chicken Rice & Noodle,1,2018,1.28248,103.8439,Singapore,Singapore,N/A,Street Food,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/liao-fan-hong-kong-soya-sauce-chicken-rice-noodle
Loaf On,1,2019,22.379858,114.27188,Hong Kong,Hong Kong,N/A,Cantonese,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on
Loam,1,2019,53.27384,-9.044447,Gaillimh/Galway,Ireland,N/A,Creative,N/A,https://guide.michelin.com/ie/en/galway/gaillimh-galway/restaurant/loam
Locanda Locatelli,1,2019,51.51514,-0.15675,Marylebone,United Kingdom,W1H 7JZ,Italian,N/A,https://guide.michelin.com/gb/en/greater-london/marylebone/restaurant/locanda-locatelli
Loch Bay,1,2019,57.51487,-6.57114,Waternish,United Kingdom,IV55 8GA,Modern cuisine,N/A,https://guide.michelin.com/gb/en/highland/waternish/restaurant/loch-bay
logy,1,2019,25.03561,121.55323,Taipei,Taipei,110,Asian contemporary,$$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/logy
Longtail,1,2019,25.023922,121.54841,Taipei,Taipei,110,Innovative,$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/longtail
Lord Stanley,1,2019,37.79592,-122.42208,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley
Luce,1,2019,37.78194,-122.40498,San Francisco,California,94103,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/luce
Lung King Heen,3,2019,22.28665,114.15674,Hong Kong,Hong Kong,N/A,Cantonese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lung-king-heen
Lyle's,1,2019,51.52378,-0.07704,Shoreditch,United Kingdom,E1 6JJ,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/shoreditch/restaurant/lyle-s
Lympstone Manor,1,2019,50.64069,-3.4186063,Lympstone,United Kingdom,EX8 3NZ,Modern cuisine,N/A,https://guide.michelin.com/gb/en/devon/lympstone/restaurant/lympstone-manor
Ma Cuisine,1,2018,1.27826,103.842,Singapore,Singapore,N/A,French,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/ma-cuisine
Maaemo,3,2019,59.910477,10.760408,Oslo,Norway,191,Modern cuisine,$$$$,https://guide.michelin.com/no/en/oslo-region/oslo/restaurant/maaemo
Madcap,1,2019,37.974712,-122.56168,San Francisco,California,94960,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap
Madera,1,2019,37.42014,-122.21151,San Francisco,California,94025,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madera
Madrona Manor,1,2019,38.60428,-122.88647,San Francisco,California,95448,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor
Man Wah,1,2019,22.282213,114.15951,Hong Kong,Hong Kong,N/A,Cantonese,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/man-wah
Mandarin Grill + Bar,1,2019,22.281048,114.1574,Hong Kong,Hong Kong,N/A,European contemporary,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar
Maní,1,2019,-23.56621,-46.67974,São Paulo - 05415,Sao Paulo,0,creative,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/mani
Manresa,3,2019,37.22761,-121.98071,South San Francisco,California,95030,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/manresa
Marchal,1,2019,55.68034,12.58508,København,Denmark,1050 K,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal
Marcus,1,2019,51.50171,-0.15614,Belgravia,United Kingdom,SW1X 7RL,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/belgravia/restaurant/marcus
Marea,2,2019,40.76749,-73.98114,New York,New York City,10019,Seafood,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea
Martin Wishart,1,2019,55.97552,-3.17019,Leith,United Kingdom,EH6 6RA,Modern cuisine,N/A,https://guide.michelin.com/gb/en/city-of-edinburgh/leith/restaurant/martin-wishart
Masa,3,2019,40.76855,-73.98335,New York,New York City,10019,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa
Masons Arms,1,2019,50.99547,-3.67163,Knowstone,United Kingdom,EX36 4RY,Classic French,N/A,https://guide.michelin.com/gb/en/devon/knowstone/restaurant/masons-arms
Masseria,1,2019,38.909504,-76.99908,"Washington, D.C.",Washington DC,20002,Italian,$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/masseria
Mathias Dahlgren-Matbaren,1,2019,59.32935,18.07543,Stockholm,Sweden,103 27,Modern cuisine,$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/mathias-dahlgren-matbaren
Matt Worswick at The Latymer,1,2019,51.35764,-0.7086128,Bagshot,United Kingdom,GU19 5EU,Modern cuisine,N/A,https://guide.michelin.com/gb/en/surrey/bagshot/restaurant/matt-worswick-at-the-latymer
Maude,1,2019,34.064346,-118.39904,Los Angeles,California,90212,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude
Maum,1,2019,37.72669,-122.414215,South San Francisco,California,94101,Korean,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/maum
Me‚Mu,1,2019,55.70901,9.53302,Vejle,Denmark,7100,Modern cuisine,$$$,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu
Meadowsweet,1,2019,40.710354,-73.96317,New York,New York City,11212,Mediterranean,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/meadowsweet
Mee,1,2019,-22.96764,-43.17925,Rio de Janeiro - 22021,Rio de Janeiro,1,Asian influences,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/mee
Meta,1,2018,1.279372,103.8415,Singapore,Singapore,N/A,Innovative,$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/meta
Methavalai Sorndaeng,1,2019,13.756321,100.502045,Bangkok,Thailand,N/A,Thai,$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/methavalai-sorndaeng
Métier,1,2019,38.903503,-77.0218,"Washington, D.C.",Washington DC,20001,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/metier
Mews,1,2019,51.48285,-9.37234,Baltimore,Ireland,N/A,Modern cuisine,N/A,https://guide.michelin.com/ie/en/cork/ie-baltimore/restaurant/mews
Mezzaluna,2,2019,13.722148,100.51691,Bangkok,Thailand,N/A,Innovative,$$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/mezzaluna
Michael Mina,1,2019,37.79349,-122.399574,San Francisco,California,94102,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/michael-mina
Midsummer House,2,2019,52.21243,0.12779,Cambridge,United Kingdom,CB4 1HA,Modern cuisine,N/A,https://guide.michelin.com/gb/en/cambridgeshire/cambridge/restaurant/midsummer-house
Ming Court,1,2019,22.318314,114.16933,Hong Kong,Hong Kong,N/A,Cantonese,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court
Ming Fu,1,2019,25.06171,121.52399,Taipei,Taipei,110,Taiwanese,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/ming-fu
Mingles,2,2019,37.52219,127.0392,Seoul,South Korea,N/A,Korean contemporary,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/mingles
minibar,2,2019,38.896294,-77.02386,"Washington, D.C.",Washington DC,20004,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/minibar
Mister Jiu's,1,2019,37.79371,-122.406654,San Francisco,California,94108,Chinese,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mister-jius
Mizumi (Macau),2,2019,22.188755,113.54488,Macau,Macau,N/A,Japanese,$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/mizumi-macau
Monte,1,2019,45.08279,13.631168,Rovinj,Croatia,52210,Creative,$$$$$,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte
Moor Hall,2,2019,53.54162,-2.8895495,Aughton,United Kingdom,L39 6RT,Modern British,N/A,https://guide.michelin.com/gb/en/lancashire/aughton/restaurant/moor-hall
Mori Sushi,1,2019,34.033398,-118.44229,Los Angeles,California,90064,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi
Morston Hall,1,2019,52.95473,0.98729,Morston,United Kingdom,NR25 7AA,Modern British,N/A,https://guide.michelin.com/gb/en/norfolk/morston/restaurant/morston-hall
Mosu,1,2019,37.536415,126.99934,Seoul,South Korea,N/A,Innovative,$$$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/mosu
Mountain and Sea House,1,2019,25.038046,121.531395,Taipei,Taipei,110,Taiwanese,$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/mountain-and-sea-house
Mourad,1,2019,37.78695,-122.39987,San Francisco,California,94105,Moroccan,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/mourad
Mraz & Sohn,2,2019,48.23129,16.37637,Wien,Austria,1200,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/mraz-sohn
MUME,1,2019,25.036266,121.54809,Taipei,Taipei,110,European contemporary,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/mume
Muoki,1,2019,37.518963,127.04217,Seoul,South Korea,N/A,Innovative,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/muoki
Murano,1,2019,51.50707,-0.14722,Mayfair,United Kingdom,W1J 5PP,Italian,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/murano
n/naka,2,2019,34.02526,-118.41206,Los Angeles,California,90034,Contemporary,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/n-naka
Nahm,1,2019,13.724357,100.53926,Bangkok,Thailand,N/A,Thai,$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/nahm
New Punjab Club,1,2019,22.28005,114.15525,Hong Kong,Hong Kong,N/A,Indian,$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/new-punjab-club
Nico,1,2019,37.795803,-122.40333,San Francisco,California,94101,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/nico
Nix,1,2019,40.733166,-73.993515,New York,New York City,10003,Vegetarian,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nix
Noda,1,2019,40.74497,-73.988075,New York,New York City,N/A,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/noda
Noel,1,2019,45.811054,15.988205,Zagreb,Croatia,10000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel
noma,2,2019,55.68332,12.61006,København,Denmark,1432 K,Creative,$$$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/noma
NoMad,1,2019,40.74497,-73.98883,New York,New York City,10001,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/nomad
North Pond,1,2019,41.9296,-87.63762,Chicago,Chicago,60614,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond
Northcote,1,2019,53.80933,-2.4476,Langho,United Kingdom,BB6 8BE,Modern British,N/A,https://guide.michelin.com/gb/en/lancashire/langho/restaurant/northcote
Nouri,1,2018,1.28086,103.84713,Singapore,Singapore,N/A,Innovative,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/nouri
Nozawa Bar,1,2019,34.0683,-118.39849,Los Angeles,California,90210,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar
Number One,1,2019,55.95298,-3.18966,Edinburgh,United Kingdom,EH2 2EQ,Modern cuisine,N/A,https://guide.michelin.com/gb/en/city-of-edinburgh/edinburgh/restaurant/number-one
Nut Tree,1,2019,51.83618,-1.1499,Murcott,United Kingdom,OX5 2RE,Traditional British,N/A,https://guide.michelin.com/gb/en/oxfordshire/murcott/restaurant/nut-tree
Oaxen Krog,2,2019,59.322342,18.101831,Stockholm,Sweden,11521,Creative,$$$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/oaxen-krog
Octavia,1,2019,37.787857,-122.42709,San Francisco,California,94109,Californian,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia
Octavium,1,2019,22.282587,114.1572,Hong Kong,Hong Kong,N/A,Italian,$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/octavium
Odette,2,2018,1.2896459,103.8516,Singapore,Singapore,N/A,French contemporary,$$$$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/odette
Okuda,1,2019,40.743793,-74.00633,New York,New York City,N/A,Japanese,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/okuda
Olive Tree,1,2019,51.38707,-2.3627,Bath,United Kingdom,BA1 2QF,Modern cuisine,N/A,https://guide.michelin.com/gb/en/bath-and-north-east-somerset/bath/restaurant/olive-tree
Olo,1,2019,60.16616,24.947704,Helsingfors / Helsinki,Finland,170,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo
Olympe,1,2019,-22.96109,-43.20658,Rio de Janeiro - 22470,Rio de Janeiro,230,French,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/olympe
Omakase,1,2019,37.77077,-122.40298,San Francisco,California,94103,Japanese,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/omakase
Onyx,2,2019,47.49712,19.05067,Budapest,Hungary,1051,Modern cuisine,$$$$$,https://guide.michelin.com/hu/en/central-hungary/budapest/restaurant/onyx
Operakällaren,1,2019,59.329876,18.071363,Stockholm,Sweden,111 86,Classic cuisine,$$$$,https://guide.michelin.com/se/en/stockholm-region/stockholm/restaurant/operakallaren
Ora,1,2019,60.157578,24.942947,Helsingfors / Helsinki,Finland,150,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora
Oriole,2,2019,41.886196,-87.64513,Chicago,Chicago,60661,Contemporary,$$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/oriole
Oro,2,2019,-22.98601,-43.22471,Rio de Janeiro - 22441,Rio de Janeiro,15,creative,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oro
Orsa & Winston,1,2019,33.92145,-118.275406,Los Angeles,California,90013,Fusion,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston
Osteria Mozza,1,2019,34.08342,-118.338974,Los Angeles,California,90028,Italian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza
Oteque,1,2019,-22.95747,-43.194424,Rio de Janeiro - 22271,Rio de Janeiro,20,modern,$$$$$,https://guide.michelin.com/br/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oteque
Outlaw's Fish Kitchen,1,2019,50.59206,-4.832,Port Isaac,United Kingdom,PL29 3RH,Seafood,N/A,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/outlaw-s-fish-kitchen
OX,1,2019,54.59891,-5.92198,Belfast,United Kingdom,BT1 3LA,Modern British,N/A,https://guide.michelin.com/gb/en/belfast/belfast/restaurant/ox399109
Oxford Kitchen,1,2019,51.776733,-1.264794,Oxford,United Kingdom,OX2 7HQ,Modern British,N/A,https://guide.michelin.com/gb/en/oxfordshire/oxford/restaurant/oxford-kitchen
Oxomoco,1,2019,40.730057,-73.95538,New York,New York City,11222,Mexican,$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco
Paco Tapas,1,2019,51.44647,-2.59358,Bristol,United Kingdom,BS1 6FU,Spanish,N/A,https://guide.michelin.com/gb/en/south-gloucestershire/bristol/restaurant/paco-tapas
Palace,1,2019,60.16556,24.95256,Helsingfors / Helsinki,Finland,130,Modern cuisine,$$$,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace
Pang's Kitchen,1,2019,22.26921,114.18452,Hong Kong,Hong Kong,N/A,Cantonese,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen
Parachute,1,2019,41.94483,-87.70638,Chicago,Chicago,60618,Fusion,$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute
Paste,1,2019,13.744594,100.540565,Bangkok,Thailand,N/A,Thai,$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/paste
Patrick Guilbaud,2,2019,53.33893,-6.25283,City Centre,Ireland,D2,Modern French,N/A,https://guide.michelin.com/ie/en/dublin/city-centre/restaurant/patrick-guilbaud
Paul Ainsworth at No.6,1,2019,50.541534,-4.9398518,Padstow,United Kingdom,PL28 8AP,Modern cuisine,N/A,https://guide.michelin.com/gb/en/cornwall/padstow/restaurant/paul-ainsworth-at-no-6
Pearl Dragon,1,2019,22.140524,113.56256,Macau,Macau,N/A,Cantonese,$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/pearl-dragon
Peel's,1,2019,52.4259,-1.70536,Hampton in Arden,United Kingdom,B92 ODQ,Creative British,N/A,https://guide.michelin.com/gb/en/west-midlands/hampton-in-arden/restaurant/peel-s
Pelegrini,1,2019,43.73603,15.888903,Šibenik,Croatia,22000,Modern cuisine,$$$$$,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini
Per Se,3,2019,40.76828,-73.98292,New York,New York City,10019,Contemporary,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se
Peter Luger,1,2019,40.70986,-73.96263,New York,New York City,11211,Steakhouse,$$$$,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/peter-luger
Pétrus,1,2019,51.49951,-0.15662,Belgravia,United Kingdom,SW1X 8EA,French,N/A,https://guide.michelin.com/gb/en/greater-london/belgravia/restaurant/petrus284688
Pfefferschiff,1,2019,47.83787,13.07917,Hallwang,Austria,5300,Classic cuisine,$$$$$,https://guide.michelin.com/at/en/salzburg-region/hallwang/restaurant/pfefferschiff
Picchi,1,2019,-23.565063,-46.666767,São Paulo - 01426,Sao Paulo,1,Italian,$$$$$,https://guide.michelin.com/br/en/sao-paulo-region/sao-paulo/restaurant/picchi
Pied à Terre,1,2019,51.519,-0.13511,Bloomsbury,United Kingdom,W1T 2NH,Creative,N/A,https://guide.michelin.com/gb/en/greater-london/bloomsbury/restaurant/pied-a-terre
Pierre,2,2019,22.282127,114.15948,Hong Kong,Hong Kong,N/A,French contemporary,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pierre
Pineapple and Pearls,2,2019,38.880707,-76.99514,"Washington, D.C.",Washington DC,20003,Contemporary,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/pineapple-and-pearls
Pipe and Glass,1,2019,53.8955,-0.53301,South Dalton,United Kingdom,HU17 7PN,Modern British,N/A,https://guide.michelin.com/gb/en/east-riding-of-yorkshire/south-dalton/restaurant/pipe-and-glass
Plume,1,2019,38.906,-77.03671,"Washington, D.C.",Washington DC,20036,European,$$$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/plume
Plumed Horse,1,2019,37.25648,-122.03537,South San Francisco,California,95070,Contemporary,$$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/plumed-horse
PM & Vänner,1,2019,56.87892,14.80387,Växjö,Sweden,352 31,Creative,$$$,https://guide.michelin.com/se/en/kronoberg/vaxjo/restaurant/pm-vanner
Pollen Street Social,1,2019,51.5133,-0.14234,Mayfair,United Kingdom,W1S 1NQ,Creative,N/A,https://guide.michelin.com/gb/en/greater-london/mayfair/restaurant/pollen-street-social
Pony & Trap,1,2019,51.34938,-2.5925994,Chew Magna,United Kingdom,BS40 8TQ,Modern British,N/A,https://guide.michelin.com/gb/en/bath-and-north-east-somerset/chew-magna/restaurant/pony-trap
Poom,1,2019,37.54903,126.98341,Seoul,South Korea,N/A,Korean,$$$,https://guide.michelin.com/kr/en/seoul-capital-area/kr-seoul/restaurant/poom
Portland,1,2019,51.519726,-0.142555,Regent's Park,United Kingdom,W1W 6QQ,Modern cuisine,N/A,https://guide.michelin.com/gb/en/greater-london/regent-s-park/restaurant/portland
Pramerl & the Wolf,1,2019,48.20945,16.37174,Wien,Austria,1090,Creative,$$$$$,https://guide.michelin.com/at/en/vienna/wien/restaurant/pramerl-the-wolf
Protégé,1,2019,37.427853,-122.14362,South San Francisco,California,94301,Contemporary,$$$,https://guide.michelin.com/us/en/california/south-san-francisco/restaurant/protege
Providence,2,2019,34.083523,-118.33019,Los Angeles,California,90028,Seafood,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/providence
PRU,1,2019,8.034298,98.2764,Phuket,Thailand,N/A,Innovative,$$$$$,https://guide.michelin.com/th/en/phuket-region/phuket/restaurant/pru
Purnell's,1,2019,52.48268,-1.9018,Birmingham,United Kingdom,B3 2DH,Modern cuisine,N/A,https://guide.michelin.com/gb/en/west-midlands/birmingham/restaurant/purnell-s
Putien (Kitchener Road),1,2018,1.30969,103.8573,Singapore,Singapore,N/A,Fujian,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/putien-kitchener-road
Q Sushi,1,2019,34.046883,-118.255844,Los Angeles,California,90017,Japanese,$$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi
Qi (Wan Chai),1,2019,22.276443,114.17126,Hong Kong,Hong Kong,N/A,Sichuan,$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/qi-wan-chai
Quilon,1,2019,51.49863,-0.13726,Victoria,United Kingdom,SW1E 6AF,Indian,N/A,https://guide.michelin.com/gb/en/greater-london/victoria/restaurant/quilon
Quince,3,2019,37.79762,-122.40337,San Francisco,California,94133,Contemporary,$$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/quince
R-Haan,1,2019,13.731805,100.57972,Bangkok,Thailand,N/A,Thai,$$$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/r-haan
Raby Hunt,2,2019,54.56647,-1.689258,Summerhouse,United Kingdom,DL2 3UD,Modern British,N/A,https://guide.michelin.com/gb/en/darlington/summerhouse/restaurant/raby-hunt
Rasa,1,2019,37.577522,-122.345985,San Francisco,California,94010,Indian,$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rasa
RAW,2,2019,25.082666,121.559525,Taipei,Taipei,110,Innovative,$$$,https://guide.michelin.com/tw/en/taipei-region/taipei/restaurant/raw
RE-NAA,1,2019,58.972088,5.732877,Stavanger,Norway,4006,Creative,$$$$,https://guide.michelin.com/no/en/rogaland/stavanger/restaurant/re-naa
Rech,1,2019,22.293434,114.174034,Hong Kong,Hong Kong,N/A,Seafood,$$$$,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech
Red Lion Freehouse,1,2019,51.2736,-1.8007996,East Chisenbury,United Kingdom,SN9 6AQ,Classic cuisine,N/A,https://guide.michelin.com/gb/en/wiltshire/east-chisenbury/restaurant/red-lion-freehouse
Relæ,1,2019,55.693233,12.543222,København,Denmark,2200 N,Modern cuisine,$$,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae
Restaurant Hywel Jones by Lucknam Park,1,2019,51.45502,-2.25941,Colerne,United Kingdom,SN14 8AZ,Modern British,N/A,https://guide.michelin.com/gb/en/wiltshire/colerne/restaurant/restaurant-hywel-jones-by-lucknam-park
Restaurant Nathan Outlaw,2,2019,50.594086,-4.82854,Port Isaac,United Kingdom,PL29 3SB,Seafood,N/A,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw
Restaurant Sat Bains,2,2019,52.92438,-1.1733198,Nottingham,United Kingdom,NG7 2SA,Creative,N/A,https://guide.michelin.com/gb/en/nottingham/nottingham/restaurant/restaurant-sat-bains
Restaurant Tristan,1,2019,51.062347,-0.326034,Horsham,United Kingdom,RH12 1HU,Modern British,N/A,https://guide.michelin.com/gb/en/west-sussex/horsham/restaurant/restaurant-tristan
Rhubarb,1,2018,1.279368,103.843,Singapore,Singapore,N/A,French contemporary,$,https://guide.michelin.com/sg/en/singapore-region/singapore/restaurant/rhubarb
Rich Table,1,2019,37.774914,-122.42271,San Francisco,California,94102,Contemporary,$$$,https://guide.michelin.com/us/en/california/san-francisco/restaurant/rich-table
Ritz Restaurant,1,2019,51.50728,-0.14141,Westminster,United Kingdom,W1J 9BR,Modern British,N/A,https://guide.michelin.com/gb/en/greater-london/westminster/restaurant/ritz-restaurant
River Café,1,2019,51.48395,-0.22423,Hammersmith,United Kingdom,W6 9HA,Italian,N/A,https://guide.michelin.com/gb/en/greater-london/hammersmith/restaurant/river-cafe
Robuchon au Dôme,3,2019,22.189949,113.54395,Macau,Macau,N/A,French contemporary,$$$$,https://guide.michelin.com/mo/en/macau-region/macau/restaurant/robuchon-au-dome
Rogan & Co,1,2019,54.20074,-2.95464,Cartmel,United Kingdom,LA11 6QD,Creative British,N/A,https://guide.michelin.com/gb/en/cumbria/cartmel/restaurant/rogan-co
Roganic,1,2019,51.518314,-0.1520875,Marylebone,United Kingdom,W1U 3DB,Creative British,N/A,https://guide.michelin.com/gb/en/greater-london/marylebone/restaurant/roganic
Roister,1,2019,41.886658,-87.65187,Chicago,Chicago,60607,Contemporary,$$$,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister
Rose's Luxury,1,2019,38.88064,-76.99515,"Washington, D.C.",Washington DC,20003,Contemporary,$$,https://guide.michelin.com/us/en/washington/washington-dc/restaurant/rose-s-luxury
Ruean Panya,1,2019,13.558403,100.28264,Bangkok,Thailand,N/A,Thai,$$,https://guide.michelin.com/th/en/bangkok-region/bangkok/restaurant/ruean-panya
Rustic Canyon,1,2019,34.024952,-118.49118,Los Angeles,California,90401,Californian,$$$,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon
